ztf_id,label,raw_score,if_norm,ae_score,ae_norm,ocsvm_score,svm_norm,consensus_score,vote_count
ZTF21abiuvdk,SN Ia,-0.6624704415972409,0.07142857142857142,0.6058322238577241,0.0,-21.604485976401826,0.0,0.023809523809523808,3
ZTF20aaelulu,SN Ic,-0.6386241891388716,0.42857142857142855,0.19059549376915422,0.07142857142857142,-21.604485976401637,0.21428571428571427,0.2380952380952381,3
ZTF18aaqkcso,SN Ia,-0.6590865933318247,0.14285714285714285,0.11763728749770425,0.2857142857142857,-21.539261991434817,0.6428571428571429,0.35714285714285715,3
ZTF18aaqkdwu,,,1.0,0.14870672210333322,0.21428571428571427,-21.604485976401826,0.0,0.4047619047619047,2
ZTF18acbwaxk,SN II,-0.7124389825926427,0.0,,1.0,-21.604332089500566,0.5,0.5,2
ZTF21aaprfqv,,,1.0,0.17288236670094081,0.14285714285714285,-21.604402611893246,0.42857142857142855,0.5238095238095238,2
ZTF20abyptpc,SN Ia,-0.6370405443525406,0.5714285714285714,0.11098584776165732,0.42857142857142855,,1.0,0.6666666666666666,2
ZTF19adcecwu,SN Ia,-0.6438396631596471,0.35714285714285715,0.08669028021022747,0.7142857142857143,,1.0,0.6904761904761904,2
ZTF21aamokak,,,1.0,0.11260158175094087,0.35714285714285715,-21.139659739884213,0.7142857142857143,0.6904761904761906,2
ZTF20adadrhw,,,1.0,0.10989014245135136,0.5,-20.629921391714053,0.8571428571428571,0.7857142857142857,2
ZTF22abtspsw,SN II,-0.629394702806879,0.7857142857142857,0.09122077017797907,0.5714285714285714,,1.0,0.7857142857142857,2
ZTF20aavrzha,,,1.0,0.08087790892076405,0.9285714285714286,-20.523099847551197,0.9285714285714286,0.9523809523809524,2
ZTF21abccaue,,,1.0,,1.0,-21.604485976401826,0.0,0.6666666666666666,1
ZTF19aacjbsj,SN IIn,-0.6525695180766731,0.21428571428571427,,1.0,,1.0,0.7380952380952381,1
ZTF20aakzbfh,,,1.0,,1.0,-21.60448566471967,0.2857142857142857,0.7619047619047619,1
ZTF22aanwibf,SN IIn,-0.6448675070722814,0.2857142857142857,,1.0,,1.0,0.7619047619047619,1
ZTF22abpekod,,,1.0,,1.0,-21.60443723541654,0.35714285714285715,0.7857142857142857,1
ZTF22aadesjc,SN IIn,-0.6377867501156517,0.5,,1.0,,1.0,0.8333333333333334,1
ZTF21abidikc,,,1.0,,1.0,-21.56365469677344,0.5714285714285714,0.8571428571428571,1
ZTF19aatlmbo,SN Ia,-0.6330259008879857,0.6428571428571429,,1.0,,1.0,0.8809523809523809,1
ZTF22abkpgpa,,,1.0,0.08911135613846255,0.6428571428571429,,1.0,0.8809523809523809,1
ZTF20abobpcb,SLSN-I,-0.6312240445602363,0.7142857142857143,,1.0,,1.0,0.9047619047619048,1
ZTF20ableiem,,,1.0,0.08257443237245363,0.7857142857142857,,1.0,0.9285714285714285,1
ZTF21acceboj,,,1.0,,1.0,-20.92595557133759,0.7857142857142857,0.9285714285714285,1
ZTF19abiietd,SN II,-0.6243593925784301,0.8571428571428571,,1.0,,1.0,0.9523809523809524,1
ZTF20actddoh,,,1.0,0.08101612496872712,0.8571428571428571,,1.0,0.9523809523809524,1
ZTF22aapkbkl,SN IIn,-0.6215297409821388,0.9285714285714286,,1.0,,1.0,0.9761904761904763,1
ZTF18aahvndq,,,1.0,0.07792580215163997,1.0,,1.0,1.0,0
ZTF20aapchqy,SN II,-0.6176144884868747,1.0,,1.0,,1.0,1.0,0
ZTF22aasxgjp,,,1.0,,1.0,-20.521114712065174,1.0,1.0,0
